0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60
0,012;6,310869124;8,845697258;10,94988065;12,8562433;14,6433631;16,34866283;17,99335926;19,59083975;21,1501886;22,67790394;24,1788238;25,65666528;27,11435757;28,55425772;29,97829583;31,38807613;32,78494918;34,17006475;35,54441125;36,90884583;38,26411754;39,61088549;40,94973335;42,28118086;43,60569324;44,9236889;46,23554577;47,54160657;48,84218326;50,13756076;51,42800012;52,71374126;53,99500525;55,27199635;56,54490372;57,81390297;59,07915746;60,34081949;61,59903127;62,85392589;64,10562809;65,35425497;66,59991664;67,8427168;69,08275323;70,32011827;71,55489922;72,78717873;74,01703513;75,24454275;76,46977218;77,69279058;78,91366182;80,13244679;81,34920353;82,56398747;83,77685152;84,9878463;86,19702021;87,40441963
0,013;6,169109902;8,685611843;10,77614929;12,67107294;14,44812191;16,14431068;17,78061953;19,37028387;20,92228324;22,44303984;23,93733453;25,40884004;26,86045033;28,29449383;29,71287711;31,11718468;32,50875045;33,88870991;35,25803916;36,61758464;37,96808598;39,310194;40,644485;41,97147211;43,29161467;44,60532576;45,91297846;47,21491113;48,51143172;49,80282149;51,08933815;52,37121851;53,64868079;54,9219266;56,19114268;57,45650234;58,71816683;59,97628645;61,2310016;62,4824436;63,73073558;64,9759931;66,21832485;67,45783316;68,69461454;69,9287601;71,16035602;72,38948385;73,6162209;74,84064051;76,06281237;77,28280272;78,50067461;79,71648812;80,93030055;82,14216655;83,35213838;84,56026595;85,76659706;86,97117744
0,014;6,038143369;8,537395899;10,61511464;12,49930265;14,26690524;15,95455115;17,58299757;19,16533665;20,71044925;22,2246861;23,71277425;25,17834473;26,62425833;28,05281662;29,46590402;30,86508655;32,25168245;33,62681381;34,99144519;36,34641293;37,69244786;39,03019302;40,36021775;41,68302903;42,99908065;44,30878068;45,6124977;46,91056592;48,20328958;49,49094648;50,77379119;52,05205762;53,32596132;54,59570142;55,86146235;57,12341531;58,38171955;59,63652353;60,88796588;62,13617633;63,38127646;64,62338042;65,86259554;67,09902288;68,33275774;69,56389012;70,79250511;72,01868325;73,24250088;74,46403044;75,68334072;76,90049716;78,11556202;79,32859462;80,53965153;81,74878674;82,95605184;84,16149612;85,36516678;86,56710897
0,015;5,916467885;8,399410156;10,46503071;12,33909528;14,09779477;15,77739196;17,39843261;18,97387323;20,51250131;22,02059999;23,50284547;24,96282935;26,4033811;27,82677694;29,23488038;30,62923996;32,01115915;33,3817474;34,74195836;36,09261888;37,43445147;38,76809181;40,09410272;41,41298536;42,72518829;44,03111486;45,33112939;46,62556222;47,91471404;49,19885944;50,47825;51,75311691;53,02367319;54,29011565;55,55262654;56,81137507;58,0665186;59,31820385;60,56656782;61,8117387;63,05383665;64,29297445;65,52925817;66,76278767;67,99365714;69,22195548;70,44776679;71,67117065;72,89224249;74,11105388;75,32767282;76,54216394;77,75458877;78,96500591;80,17347128;81,38003821;82,58475766;83,78767836;84,98884692;86,18830797
0,016;5,802874107;8,270333113;10,32448914;12,18896832;13,939242;15,61122447;17,22526035;18,79417722;20,32667391;21,82896937;23,30569155;24,76039463;26,1958784;27,61439502;29,01778819;30,4075899;31,7850896;33,15138478;34,50741875;35,85400939;37,19187129;38,5216332;39,84385176;41,15902261;42,46758935;43,76995088;45,06646748;46,35746584;47,64324328;48,92407134;50,2001988;51,47185425;52,73924833;54,00257565;55,26201642;56,51773792;57,76989576;59,018635;60,2640911;61,50639081;62,7456529;63,98198892;65,2155037;66,44629599;67,67445889;68,90008032;70,1232434;71,34402682;72,56250514;73,77874914;74,99282601;76,20479966;77,41473092;78,62267772;79,82869534;81,0328365;82,23515158;83,43568875;84,63449409;85,83161171
0,017;5,69637381;8,14908387;10,19233733;12,04770801;13,78997877;15,45473093;17,06211718;18,62484212;20,15152006;21,64830882;23,11979039;24,56948335;26,00015924;27,41404732;28,81297245;30,19845086;31,5717587;32,93398208;34,28605448;35,62878522;36,96288143;38,28896522;39,60758737;40,91923829;42,22435686;43,52333776;44,81653743;46,10427907;47,38685682;48,66453933;49,93757269;51,20618306;52,47057881;53,73095244;54,98748222;56,24033364;57,48966062;58,73560665;59,97830572;61,2178832;62,4544566;63,68813622;64,91902578;66,14722293;67,37281978;68,59590328;69,81655565;71,0348547;72,25087421;73,46468416;74,67635101;75,88593798;77,09350522;78,29911005;79,50280711;80,70464856;81,90468423;83,10296176;84,29952671;85,49442273
0,018;5,596149122;8,034767042;10,06762;11,91430801;13,64895331;15,30681822;16,90787168;18,46470069;19,98583877;21,4773853;22,9438784;24,38880264;25,81490258;27,22438565;28,61905871;30,00042299;31,36974193;32,72809077;34,07639364;35,41545172;36,74596498;38,06854922;39,38374965;40,69205167;41,99388968;43,28965433;44,57969839;45,86434175;47,14387554;48,41856561;49,68865554;50,95436912;52,21591259;53,47347643;54,72723709;55,97735832;57,22399244;58,46728144;59,70735792;60,94434594;62,17836179;63,4095146;64,63790702;65,86363568;67,0867917;68,30746114;69,52572535;70,74166133;71,95534207;73,16683681;74,37621133;75,58352818;76,78884686;77,9922241;79,19371396;80,39336806;81,59123568;82,78736397;83,98179801;85,17458098
0,019;5,501515535;7,9266326;9,949536543;11,7879246;13,5152836;15,16656941;16,76157466;18,31277355;19,82862217;21,31516393;22,77689491;24,21726713;25,63899933;27,04427802;28,43489288;29,81233076;31,17784295;32,53249431;33,87720002;35,21275345;36,53984775;37,85909271;39,17102817;40,47613477;41,77484263;43,06753853;44,35457176;45,63625903;46,91288857;48,1847236;49,45200527;50,71495514;51,97377737;53,22866056;54,47977937;55,72729592;56,97136099;58,21211516;59,44968968;60,68420737;61,91578332;63,14452561;64,3705358;65,59390958;66,81473714;68,03310365;69,24908965;70,46277137;71,67422104;72,88350721;74,09069499;75,29584628;76,49902;77,70027228;78,89965665;80,09722417;81,29302366;82,48710177;83,67950311;84,87027043
0,02;5,411894431;7,824046011;9,837409311;11,6678434;13,3882226;15,03320775;16,62242187;18,16823076;19,67901609;21,16076754;22,61794081;24,05395669;25,47150914;26,87276464;28,25949634;29,63317731;30,99504721;32,34616093;33,68742507;35,01962554;36,34344894;37,65949928;38,96831129;40,27036101;41,56607449;42,85583479;44,13998786;45,41884738;46,6926988;47,96180282;49,22639824;50,4867045;51,74292379;52,99524287;54,24383471;55,48885986;56,73046765;57,96879726;59,2039787;60,43613356;61,66537584;62,89181252;64,11554422;65,33666566;66,55526615;67,77143005;68,98523708;70,19676274;71,40607855;72,61325238;73,81834871;75,02142883;76,22255107;77,42177102;78,61914166;79,81471359;81,00853511;82,20065242;83,3911097;84,57994928
0,021;5,326792337;7,726465683;9,730659636;11,5534542;13,26713205;14,90606945;16,48972592;18,03036285;19,53629025;21,01344608;22,46624722;23,89808441;25,31162778;26,70902452;28,09203193;29,46210985;30,82048672;32,16820788;33,50617168;34,83515685;36,15584371;37,46883072;38,77464769;40,07376628;41,36660858;42,65355411;43,93494561;45,21109384;46,48228159;47,74876713;49,01078703;50,26855867;51,52228234;52,77214307;54,01831219;55,26094874;56,50020065;57,73620578;58,96909291;60,1989825;61,42598746;62,65021377;63,87176108;65,09072321;66,30718866;67,52124094;68,73295905;69,94241775;71,14968789;72,35483671;73,55792804;74,75902261;75,9581782;77,15544985;78,35089006;79,54454892;80,73647428;81,9267119;83,11530555;84,30229712
